trip_id,date,time,transport_type,route_id,origin_station,destination_station,scheduled_departure,scheduled_arrival,actual_departure_delay_min,actual_arrival_delay_min,weather_condition,temperature_C,humidity_percent,wind_speed_kmh,precipitation_mm,event_type,event_attendance_est,traffic_congestion_index,holiday,peak_hour,weekday,season,delayed,is_circular_trip,datetime,sched_dep_datetime,sched_arr_datetime,hour,day_name,is_weekend,month,week_of_year,time_of_day_bucket,total_delay,delay_change,is_early_departure,is_early_arrival,trip_duration_scheduled,severe_delay,transport_type_enc,weather_condition_enc,event_type_enc,season_enc,weather_severity_index,feels_like_impact,event_impact_score,congestion_weather_combo,station_avg_dep_delay,station_delay_rate,route_avg_delay,route_delay_rate,actual_departure_delay_min_z,actual_arrival_delay_min_z,temperature_C_z,humidity_percent_z,wind_speed_kmh_z,precipitation_mm_z,event_attendance_est_z,traffic_congestion_index_z,total_delay_z,delay_change_z,trip_duration_scheduled_z,weather_severity_index_z,feels_like_impact_z,event_impact_score_z,congestion_weather_combo_z,actual_departure_delay_min_mm,actual_arrival_delay_min_mm,temperature_C_mm,humidity_percent_mm,wind_speed_kmh_mm,precipitation_mm_mm,event_attendance_est_mm,traffic_congestion_index_mm,total_delay_mm,delay_change_mm,trip_duration_scheduled_mm,weather_severity_index_mm,feels_like_impact_mm,event_impact_score_mm,congestion_weather_combo_mm
T00010,2023-01-01,07:30:00,Tram,Route_18,Station_24,Station_20,07:30:00,08:26:00,16,8,Snow,12.1,56,7,1,None,0,53,0,0,6,Winter,1,0,2023-01-01T02:00:00Z,2023-01-01T02:00:00Z,2023-01-01T02:56:00Z,7,Sunday,1,1,1,Morning,24,-8,0,0,56,0,4,5,0,1,0.3556,0.847,0,18.846800000000002,8.4,80,14.13,75.25,1.1665,-0.5725,-0.2632,-0.4285,-1.2917,-1.5326,-0.6329,0.0943,0.1785,-1.1233,1.675,-0.4501,-0.761,-0.5248,-0.208,0.8571,0.3438,0.4275,0.3768,0.1186,0.05,0,0.5354,0.5385,0.2642,0.9302,0.3532,0.1589,0,0.2012
T00011,2023-01-01,07:45:00,Tram,Route_12,Station_50,Station_6,07:49:00,08:33:00,15,21,Cloudy,28,74,46,9.8,None,2000,91,0,0,6,Summer,1,0,2023-01-01T02:15:00Z,2023-01-01T02:19:00Z,2023-01-01T03:03:00Z,7,Sunday,1,1,1,Morning,36,6,0,0,44,1,4,2,0,3,0.4298,12.88,182,39.1118,8.9,74.36,14.29,80,1.007,0.8269,1.1219,0.4567,0.9673,-0.0105,0.3897,1.3945,1.2529,0.1218,0.6169,-0.089,1.838,0.9983,0.9441,0.8095,0.75,0.825,0.6377,0.7797,0.49,0.4,0.9192,0.7692,0.5283,0.6512,0.4284,0.6762,0.3677,0.4176
T00012,2023-01-01,08:00:00,Tram,Route_15,Station_8,Station_48,08:04:00,08:37:00,10,-1,Clear,25.6,64,33,9.4,Parade,0,10,0,0,6,Summer,0,0,2023-01-01T02:30:00Z,2023-01-01T02:34:00Z,2023-01-01T03:07:00Z,8,Sunday,1,1,1,Morning,9,-11,0,1,33,0,4,1,3,3,0.3557,8.448,0,3.557,9.6,66.67,13.99,77.68,0.2093,-1.5413,0.9128,-0.0351,0.2143,-0.0797,-0.6329,-1.377,-1.1644,-1.3901,-0.353,-0.4496,0.8808,-0.5248,-1.0773,0.5714,0.0625,0.765,0.4928,0.5593,0.47,0,0.101,0.25,0.2075,0.3953,0.3533,0.4856,0,0.038
T00013,2023-01-01,08:15:00,Tram,Route_9,Station_41,Station_3,08:17:00,08:44:00,10,22,Storm,10,55,48,1.6,None,5000,62,0,1,6,Summer,1,0,2023-01-01T02:45:00Z,2023-01-01T02:47:00Z,2023-01-01T03:14:00Z,8,Sunday,1,1,1,Morning,32,12,0,0,27,1,4,6,0,3,0.5761,4.8,310,35.7182,7.91,71.43,12.83,76.24,0.2093,0.9346,-0.4461,-0.4777,1.0831,-1.4288,1.9237,0.4022,0.8948,0.6555,-0.882,0.6228,0.0928,2.0695,0.7512,0.5714,0.7812,0.375,0.3623,0.8136,0.08,1,0.6263,0.6923,0.6415,0.2558,0.5767,0.3288,0.6263,0.3813
T00014,2023-01-01,08:30:00,Metro,Route_13,Station_6,Station_42,08:32:00,09:28:00,16,0,Storm,17.6,52,22,5.2,None,500,21,0,0,6,Winter,0,0,2023-01-01T03:00:00Z,2023-01-01T03:02:00Z,2023-01-01T03:58:00Z,8,Sunday,1,1,1,Morning,16,-16,0,0,56,0,2,6,0,1,0.5158,3.872,10.5,10.8318,8.03,76.32,11.93,69.64,1.1665,-1.4336,0.2159,-0.6252,-0.4229,-0.8062,-0.3772,-1.0006,-0.5377,-1.8348,1.675,0.3294,-0.1076,-0.4369,-0.6637,0.8571,0.0938,0.565,0.3188,0.3729,0.26,0.1,0.2121,0.3846,0.1132,0.9302,0.5156,0.2889,0.0212,0.1156
T00015,2023-01-01,08:45:00,Bus,Route_15,Station_5,Station_11,08:46:00,09:22:00,9,11,Fog,28.4,42,37,19.1,None,500,53,0,0,6,Summer,1,0,2023-01-01T03:15:00Z,2023-01-01T03:16:00Z,2023-01-01T03:52:00Z,8,Sunday,1,1,1,Morning,20,2,0,0,36,0,1,3,0,3,0.5699,10.508,26.5,30.2047,8.3,62.16,13.99,77.68,0.0498,-0.2495,1.1567,-1.117,0.446,1.5981,-0.3772,0.0943,-0.1796,-0.2339,-0.0885,0.5926,1.3257,-0.303,0.4377,0.5238,0.4375,0.835,0.1739,0.6271,0.955,0.1,0.5354,0.4615,0.4528,0.4651,0.5704,0.5742,0.0535,0.3225
T00016,2023-01-01,09:00:00,Metro,Route_10,Station_44,Station_43,09:03:00,09:20:00,14,28,Storm,-4.3,32,52,2.2,Festival,0,88,0,0,6,Spring,1,0,2023-01-01T03:30:00Z,2023-01-01T03:33:00Z,2023-01-01T03:50:00Z,9,Sunday,1,1,1,Morning,42,14,0,0,17,1,2,6,2,2,0.6084,-2.236,0,53.5392,10.24,76.32,11.81,70.93,0.8475,1.5805,-1.6918,-1.6088,1.3148,-1.3251,-0.6329,1.2919,1.7901,0.8334,-1.7638,0.7799,-1.4269,-0.5248,1.7644,0.7619,0.9688,0.0175,0.029,0.8814,0.11,0,0.8889,0.8846,0.6792,0.0233,0.6094,0.0264,0,0.5716
T00017,2023-01-01,09:15:00,Metro,Route_16,Station_29,Station_17,09:18:00,10:13:00,19,25,Fog,27.1,58,27,6.1,None,0,84,0,0,6,Spring,1,0,2023-01-01T03:45:00Z,2023-01-01T03:48:00Z,2023-01-01T04:43:00Z,9,Sunday,1,1,1,Morning,44,6,0,0,55,1,2,3,0,2,0.2592,7.317,0,21.7728,7.21,72.34,13.16,68.75,1.6452,1.2575,1.0435,-0.3302,-0.1333,-0.6505,-0.6329,1.155,1.9691,0.1218,1.5868,-0.9191,0.6365,-0.5248,-0.0417,1,0.875,0.8025,0.4058,0.4576,0.305,0,0.8485,0.9231,0.5283,0.907,0.2555,0.437,0,0.2324
T00018,2023-01-01,09:30:00,Metro,Route_7,Station_28,Station_32,09:31:00,10:10:00,9,6,Clear,32.9,95,12,0.7,None,2000,35,0,1,6,Winter,1,0,2023-01-01T04:00:00Z,2023-01-01T04:01:00Z,2023-01-01T04:40:00Z,9,Sunday,1,1,1,Morning,15,-3,0,0,39,0,2,1,0,1,0.075,3.948,70,2.625,9.77,78.72,13.58,79.78,0.0498,-0.7878,1.5487,1.4894,-1.0021,-1.5845,0.3897,-0.5216,-0.6273,-0.6786,0.176,-1.8153,-0.0912,0.061,-1.1303,0.5238,0.2812,0.9475,0.942,0.2034,0.035,0.4,0.3535,0.3654,0.3585,0.5349,0.0688,0.2922,0.1414,0.028
T00019,2023-01-01,09:45:00,Tram,Route_17,Station_11,Station_4,09:48:00,10:05:00,10,17,Clear,-3.7,93,28,3,Festival,0,57,0,0,6,Winter,1,0,2023-01-01T04:15:00Z,2023-01-01T04:18:00Z,2023-01-01T04:35:00Z,9,Sunday,1,1,1,Morning,27,7,0,0,17,1,4,1,2,1,0.2023,-1.036,0,11.5311,8.03,76.92,13.47,78.18,0.2093,0.3964,-1.6396,1.391,-0.0753,-1.1867,-0.6329,0.2312,0.4471,0.2108,-1.7638,-1.1959,-1.1677,-0.5248,-0.6239,0.5714,0.625,0.0325,0.913,0.4746,0.15,0,0.5758,0.5962,0.5472,0.0233,0.1978,0.078,0,0.1231
T00020,2023-01-01,10:00:00,Train,Route_7,Station_1,Station_4,10:00:00,10:34:00,9,12,Clear,-3.2,57,7,14,Concert,0,19,0,0,6,Winter,1,0,2023-01-01T04:30:00Z,2023-01-01T04:30:00Z,2023-01-01T05:04:00Z,10,Sunday,1,1,1,Morning,21,3,0,0,34,0,3,1,1,1,0.3155,-0.224,0,5.9945,7.47,67.5,13.58,79.78,0.0498,-0.1419,-1.596,-0.3794,-1.2917,0.716,-0.6329,-1.0691,-0.0901,-0.145,-0.2648,-0.6452,-0.9923,-0.5248,-0.9387,0.5238,0.4688,0.045,0.3913,0.1186,0.7,0,0.1919,0.4808,0.4717,0.4186,0.3126,0.1129,0,0.064
T00021,2023-01-01,10:15:00,Bus,Route_14,Station_43,Station_17,10:18:00,10:38:00,16,15,Clear,8.8,65,10,7.3,None,0,15,0,0,6,Autumn,1,0,2023-01-01T04:45:00Z,2023-01-01T04:48:00Z,2023-01-01T05:08:00Z,10,Sunday,1,1,1,Morning,31,-1,0,0,20,0,1,1,0,4,0.1968,0.88,0,2.952,8.29,66.67,13.5,75.24,1.1665,0.1811,-0.5507,0.0141,-1.118,-0.4429,-0.6329,-1.2059,0.8052,-0.5007,-1.4993,-1.2227,-0.7538,-0.5248,-1.1117,0.8571,0.5625,0.345,0.5072,0.1695,0.365,0,0.1515,0.6731,0.3962,0.093,0.1923,0.1603,0,0.0315
T00022,2023-01-01,10:30:00,Train,Route_15,Station_19,Station_41,10:31:00,11:09:00,11,25,Cloudy,-1.5,35,46,9,None,0,91,0,0,6,Summer,1,0,2023-01-01T05:00:00Z,2023-01-01T05:01:00Z,2023-01-01T05:39:00Z,10,Sunday,1,1,1,Morning,36,14,0,0,38,1,3,2,0,3,0.4138,-0.69,0,37.6558,7.83,75.61,13.99,77.68,0.3689,1.2575,-1.4479,-1.4612,0.9673,-0.1489,-0.6329,1.3945,1.2529,0.8334,0.0879,-0.1669,-1.0929,-0.5248,0.8614,0.619,0.875,0.0875,0.0725,0.7797,0.45,0,0.9192,0.7692,0.6792,0.5116,0.4122,0.0928,0,0.402
T00023,2023-01-01,10:45:00,Metro,Route_7,Station_9,Station_19,10:48:00,11:14:00,4,14,Snow,14.2,40,44,3.1,Festival,500,55,0,1,6,Winter,1,0,2023-01-01T05:15:00Z,2023-01-01T05:18:00Z,2023-01-01T05:44:00Z,10,Sunday,1,1,1,Morning,18,10,0,0,26,0,2,5,2,1,0.5857,6.248,27.5,32.2135,6.95,70.27,13.58,79.78,-0.7479,0.0734,-0.0803,-1.2154,0.8515,-1.1694,-0.3772,0.1627,-0.3587,0.4776,-0.9702,0.6695,0.4056,-0.2946,0.5519,0.2857,0.5312,0.48,0.1449,0.7458,0.155,0.1,0.5556,0.4231,0.6038,0.2326,0.5864,0.3911,0.0556,0.3439
T00024,2023-01-01,11:00:00,Metro,Route_9,Station_27,Station_5,11:04:00,11:42:00,10,12,Snow,24.1,67,17,13.6,Festival,0,92,0,0,6,Winter,1,0,2023-01-01T05:30:00Z,2023-01-01T05:34:00Z,2023-01-01T06:12:00Z,11,Sunday,1,1,1,Morning,22,2,0,0,38,0,2,5,2,1,0.6583,4.097,0,60.5636,9.75,66.67,12.83,76.24,0.2093,-0.1419,0.7822,0.1124,-0.7125,0.6468,-0.6329,1.4287,-5e-4,-0.2339,0.0879,1.0227,-0.059,-0.5248,2.1638,0.5714,0.4688,0.7275,0.5362,0.2881,0.68,0,0.9293,0.5,0.4528,0.5116,0.66,0.2986,0,0.6466
T00025,2023-01-01,11:15:00,Train,Route_19,Station_34,Station_32,11:17:00,12:08:00,3,-3,Cloudy,17.7,63,49,15,None,0,49,0,0,6,Winter,0,0,2023-01-01T05:45:00Z,2023-01-01T05:47:00Z,2023-01-01T06:38:00Z,11,Sunday,1,1,1,Morning,0,-6,0,1,51,0,3,2,0,1,0.549,8.673,0,26.901,9.57,71.43,13.36,76.84,-0.9074,-1.7566,0.2246,-0.0843,1.1411,0.8889,-0.6329,-0.0426,-1.9702,-0.9454,1.2341,0.4909,0.9294,-0.5248,0.2499,0.2381,0,0.5675,0.4783,0.8305,0.75,0,0.4949,0.0769,0.3019,0.814,0.5492,0.4953,0,0.2872
T00026,2023-01-01,11:30:00,Train,Route_16,Station_44,Station_22,11:30:00,12:22:00,16,-2,Clear,2.9,96,24,3.6,None,0,89,1,0,6,Spring,0,0,2023-01-01T06:00:00Z,2023-01-01T06:00:00Z,2023-01-01T06:52:00Z,11,Sunday,1,1,1,Morning,14,-18,0,1,52,0,3,1,0,2,0.194,0.696,0,17.266,10.24,76.32,13.16,68.75,1.1665,-1.6489,-1.0646,1.5385,-0.307,-1.0829,-0.6329,1.3261,-0.7168,-2.0127,1.3223,-1.2363,-0.7936,-0.5248,-0.2979,0.8571,0.0312,0.1975,0.9565,0.4068,0.18,0,0.899,0.3462,0.0755,0.8372,0.1894,0.1524,0,0.1843
T00027,2023-01-01,11:45:00,Train,Route_8,Station_4,Station_6,11:49:00,12:38:00,16,11,Storm,21.2,75,48,0.9,None,5000,65,0,0,6,Winter,1,0,2023-01-01T06:15:00Z,2023-01-01T06:19:00Z,2023-01-01T07:08:00Z,11,Sunday,1,1,1,Morning,27,-5,0,0,49,0,3,6,0,1,0.5621,10.176,325,36.5365,7.95,80.95,13.31,74.31,1.1665,-0.2495,0.5295,0.5058,1.0831,-1.5499,1.9237,0.5049,0.4471,-0.8565,1.0578,0.5547,1.254,2.1951,0.7977,0.8571,0.4375,0.655,0.6522,0.8136,0.045,1,0.6566,0.5962,0.3208,0.7674,0.5625,0.5599,0.6566,0.3901
T00028,2023-01-01,12:00:00,Metro,Route_18,Station_36,Station_35,12:04:00,12:58:00,1,24,Fog,22.4,58,21,1.6,None,5000,73,0,0,6,Spring,1,0,2023-01-01T06:30:00Z,2023-01-01T06:34:00Z,2023-01-01T07:28:00Z,12,Sunday,1,1,1,Afternoon,25,23,0,0,54,1,2,3,0,2,0.1388,4.704,365,10.1324,9.11,78.95,14.13,75.25,-1.2265,1.1499,0.6341,-0.3302,-0.4808,-1.4288,1.9237,0.7786,0.2681,1.6338,1.4986,-1.5049,0.0721,2.5298,-0.7035,0.1429,0.8438,0.685,0.4058,0.3559,0.08,1,0.73740000000000006,0.5577,0.8491,0.8837,0.1335,0.3247,0.73740000000000006,0.1082
T00029,2023-01-01,12:15:00,Metro,Route_18,Station_18,Station_22,12:16:00,12:44:00,16,-3,Snow,32.3,89,44,13.1,Sports,0,12,0,1,6,Spring,0,0,2023-01-01T06:45:00Z,2023-01-01T06:46:00Z,2023-01-01T07:14:00Z,12,Sunday,1,1,1,Afternoon,13,-19,0,1,28,0,2,5,5,2,0.7856,14.212,0,9.4272,8.26,74.29,14.13,75.25,1.1665,-1.7566,1.4965,1.1943,0.8515,0.5603,-0.6329,-1.3086,-0.8063,-2.1016,-0.7939,1.6421,2.1257,-0.5248,-0.7436,0.8571,0,0.9325,0.8551,0.7458,0.655,0,0.1212,0.3269,0.0566,0.2791,0.789,0.7334,0,0.1006
T00030,2023-01-01,12:30:00,Bus,Route_20,Station_15,Station_1,12:32:00,13:09:00,6,1,Rain,0.9,83,34,2.7,None,0,14,0,0,6,Autumn,0,0,2023-01-01T07:00:00Z,2023-01-01T07:02:00Z,2023-01-01T07:39:00Z,12,Sunday,1,1,1,Afternoon,7,-5,0,0,37,0,1,4,0,4,0.2269,0.306,0,3.1766,7.7,77.27,13.46,75.26,-0.4288,-1.326,-1.2389,0.8992,0.2722,-1.2386,-0.6329,-1.2401,-1.3435,-0.8565,-3e-4,-1.0762,-0.8778,-0.5248,-1.0989,0.381,0.125,0.1475,0.7681,0.5763,0.135,0,0.1414,0.2115,0.3208,0.4884,0.2228,0.1357,0,0.0339
T00031,2023-01-01,12:45:00,Bus,Route_7,Station_13,Station_20,12:47:00,13:05:00,13,18,Fog,22.7,98,28,9.9,Sports,0,72,0,1,6,Winter,1,0,2023-01-01T07:15:00Z,2023-01-01T07:17:00Z,2023-01-01T07:35:00Z,12,Sunday,1,1,1,Afternoon,31,5,0,0,18,1,1,3,5,1,0.3403,6.356,0,24.5016,8.39,77.55,13.58,79.78,0.6879,0.504,0.6602,1.6369,-0.0753,0.0068,-0.6329,0.7444,0.8052,0.0329,-1.6756,-0.5245,0.4289,-0.5248,0.1135,0.7143,0.6562,0.6925,0.9855,0.4746,0.495,0,0.7273,0.6731,0.5094,0.0465,0.3377,0.3957,0,0.2616
T00032,2023-01-01,13:00:00,Metro,Route_3,Station_19,Station_22,13:00:00,13:32:00,1,9,Rain,31.5,38,20,3.1,Concert,0,26,0,0,6,Autumn,1,0,2023-01-01T07:30:00Z,2023-01-01T07:30:00Z,2023-01-01T08:02:00Z,13,Sunday,1,1,1,Afternoon,10,8,0,0,32,0,2,4,1,4,0.1637,6.3,0,4.2562,7.83,75.61,13.07,71.93,-1.2265,-0.4648,1.4268,-1.3137,-0.5387,-1.1694,-0.6329,-0.8295,-1.0749,0.2997,-0.4412,-1.3837,0.4168,-0.5248,-1.0376,0.1429,0.375,0.9125,0.1159,0.339,0.155,0,0.2626,0.2692,0.566,0.3721,0.1587,0.3933,0,0.0454
T00033,2023-01-01,13:15:00,Train,Route_18,Station_49,Station_48,13:16:00,13:35:00,3,-3,Rain,15.1,39,55,3.4,Sports,2000,7,0,1,6,Winter,0,0,2023-01-01T07:45:00Z,2023-01-01T07:46:00Z,2023-01-01T08:05:00Z,13,Sunday,1,1,1,Afternoon,0,-6,0,1,19,0,3,4,5,1,0.3476,8.305,14,2.4332,8.04,67.35,14.13,75.25,-0.9074,-1.7566,-0.0019,-1.2645,1.4886,-1.1175,0.3897,-1.4797,-1.9702,-0.9454,-1.5874,-0.489,0.8499,-0.4076,-1.1412,0.2381,0,0.5025,0.1304,0.9322,0.17,0.4,0.0707,0.0769,0.3019,0.0698,0.3451,0.4795,0.0283,0.026
T00034,2023-01-01,13:30:00,Train,Route_10,Station_6,Station_11,13:30:00,13:54:00,5,12,Clear,9.5,97,6,0.1,Festival,0,69,0,0,6,Summer,1,0,2023-01-01T08:00:00Z,2023-01-01T08:00:00Z,2023-01-01T08:24:00Z,13,Sunday,1,1,1,Afternoon,17,7,0,0,24,0,3,1,2,3,0.0325,0.57,0,2.2425,8.03,76.32,11.81,70.93,-0.5884,-0.1419,-0.4897,1.5877,-1.3497,-1.6883,-0.6329,0.6418,-0.4482,0.2108,-1.1466,-2.0221,-0.8208,-0.5248,-1.152,0.3333,0.4688,0.3625,0.971,0.1017,0.005,0,0.697,0.4038,0.5472,0.186,0.0257,0.147,0,0.0239
