trip_id,date,hour,transport_type,route_id,origin_station,destination_station,actual_departure_delay_min,actual_arrival_delay_min,weather_condition,temperature_C,precipitation_mm,event_type,event_attendance_est,traffic_congestion_index,holiday,peak_hour,weekday,season,delayed,total_delay,delay_change,time_of_day_bucket,is_weekend,weather_severity_index,event_impact_score
T00041,2023-01-01,15,Tram,Route_2,Station_29,Station_14,11,13,Clear,18,14.8,None,0,20,0,0,6,Autumn,1,24,2,Afternoon,1,0.5908,0
T00042,2023-01-01,15,Train,Route_3,Station_33,Station_33,4,24,Rain,-3.9,13.9,None,5000,76,0,1,6,Summer,1,28,20,Afternoon,1,0.4355,380
T00043,2023-01-01,15,Metro,Route_5,Station_27,Station_18,17,3,Fog,5.5,18.7,None,0,51,0,1,6,Autumn,0,20,-14,Afternoon,1,0.5314,0
T00044,2023-01-01,16,Metro,Route_11,Station_25,Station_49,3,5,Cloudy,23.4,4.7,Parade,500,10,0,1,6,Summer,0,8,2,Afternoon,1,0.2211,5
T00045,2023-01-01,16,Metro,Route_8,Station_10,Station_41,4,18,Snow,22.1,3.8,None,0,7,0,0,6,Autumn,1,22,14,Afternoon,1,0.4268,0
T00046,2023-01-01,16,Metro,Route_12,Station_47,Station_9,2,22,Cloudy,9.1,12.2,None,0,56,0,0,6,Autumn,1,24,20,Afternoon,1,0.4727,0
T00047,2023-01-01,16,Tram,Route_7,Station_23,Station_23,18,8,Rain,27.3,11.9,Parade,0,45,0,1,6,Winter,1,26,-10,Afternoon,1,0.3243,0
T00048,2023-01-01,17,Train,Route_15,Station_21,Station_10,15,3,Cloudy,4.4,10.2,Sports,5000,77,0,0,6,Autumn,0,18,-12,Afternoon,1,0.3971,385
T00049,2023-01-01,17,Train,Route_17,Station_21,Station_19,9,11,Snow,13.5,0.1,Protest,0,96,0,1,6,Summer,1,20,2,Afternoon,1,0.3223,0
T00050,2023-01-01,17,Tram,Route_4,Station_43,Station_47,3,17,Fog,13.9,11.1,None,2000,1,0,0,6,Spring,1,20,14,Afternoon,1,0.2982,2
T00051,2023-01-01,17,Train,Route_13,Station_13,Station_5,-2,10,Storm,8.6,18.7,None,5000,63,0,0,6,Summer,1,8,12,Afternoon,1,0.7247,315
T00052,2023-01-01,18,Tram,Route_18,Station_37,Station_47,1,-2,Fog,33.2,6.7,None,5000,51,0,0,6,Autumn,0,-1,-3,Evening,1,0.4034,255
T00053,2023-01-01,18,Metro,Route_1,Station_33,Station_23,16,4,Cloudy,22.9,19.4,Sports,0,64,0,1,6,Spring,0,20,-12,Evening,1,0.5607,0
T00054,2023-01-01,18,Tram,Route_16,Station_24,Station_30,9,2,Snow,16.6,7.1,Concert,0,10,0,0,6,Winter,0,11,-7,Evening,1,0.6809,0
T00055,2023-01-01,18,Metro,Route_13,Station_44,Station_25,12,29,Storm,15.4,2.8,Concert,5000,5,0,1,6,Spring,1,41,17,Evening,1,0.4068,25
T00056,2023-01-01,19,Metro,Route_10,Station_11,Station_28,0,2,Snow,1.4,8,Sports,0,95,0,1,6,Winter,0,2,2,Evening,1,0.6684,0
T00057,2023-01-01,19,Bus,Route_12,Station_17,Station_34,17,22,Fog,9.9,9.9,None,0,78,0,1,6,Summer,1,39,5,Evening,1,0.3098,0
T00058,2023-01-01,19,Tram,Route_2,Station_4,Station_45,5,10,Clear,21.9,12.6,Concert,0,75,0,1,6,Spring,1,15,5,Evening,1,0.5265,0
T00059,2023-01-01,19,Bus,Route_3,Station_47,Station_48,8,4,Clear,32,10.1,None,0,63,0,1,6,Spring,0,12,-4,Evening,1,0.3697,0
T00060,2023-01-01,20,Tram,Route_10,Station_25,Station_47,13,9,Storm,27.7,10.7,None,0,92,0,1,6,Spring,1,22,-4,Evening,1,0.7529,0
T00061,2023-01-01,20,Tram,Route_2,Station_30,Station_25,6,9,Storm,7,0.5,None,500,54,0,0,6,Winter,1,15,3,Evening,1,0.3914,27
T00062,2023-01-01,20,Bus,Route_13,Station_9,Station_10,0,24,Storm,12.4,5.1,Sports,500,43,0,0,6,Winter,1,24,24,Evening,1,0.4477,21.5
T00063,2023-01-01,20,Bus,Route_13,Station_21,Station_14,2,14,Clear,-1.7,6.2,Festival,0,85,0,0,6,Summer,1,16,12,Evening,1,0.2104,0
T00064,2023-01-01,21,Tram,Route_18,Station_20,Station_42,17,15,Fog,-0.9,19.7,None,5000,13,1,0,6,Summer,1,32,-2,Evening,1,0.61240000000000006,65
T00065,2023-01-01,21,Train,Route_3,Station_19,Station_46,11,28,Storm,13.8,5.9,None,0,82,0,0,6,Autumn,1,39,17,Evening,1,0.4535,0
T00066,2023-01-01,21,Metro,Route_7,Station_19,Station_30,12,18,Clear,16.2,17.9,None,0,4,0,0,6,Winter,1,30,6,Evening,1,0.6527,0
T00067,2023-01-01,21,Bus,Route_14,Station_12,Station_41,3,-2,Storm,5.6,6.1,Festival,5000,98,0,1,6,Summer,0,1,-5,Evening,1,0.5491,490
T00068,2023-01-01,22,Metro,Route_20,Station_37,Station_25,1,9,Storm,20.7,1.9,Concert,0,24,0,0,6,Spring,1,10,8,Evening,1,0.3482,0
T00069,2023-01-01,22,Train,Route_17,Station_42,Station_14,5,19,Snow,23.1,5,Parade,2000,49,0,0,6,Spring,1,24,14,Evening,1,0.6949,98
T00070,2023-01-01,22,Train,Route_12,Station_17,Station_35,16,21,Storm,7,5.5,Festival,0,72,0,1,6,Spring,1,37,5,Evening,1,0.6693,0
T00071,2023-01-01,22,Train,Route_16,Station_37,Station_48,2,24,Clear,25.3,19.6,None,2000,70,0,0,6,Summer,1,26,22,Evening,1,0.5088,140
T00072,2023-01-01,23,Bus,Route_12,Station_48,Station_34,10,7,Fog,3.2,13.5,None,0,81,0,0,6,Spring,1,17,-3,Evening,1,0.28,0
T00073,2023-01-01,23,Train,Route_15,Station_39,Station_10,13,29,Clear,16.8,18.6,None,0,1,0,1,6,Spring,1,42,16,Evening,1,0.5599,0
T00074,2023-01-01,23,Bus,Route_10,Station_28,Station_35,-2,20,Clear,27.2,16.7,None,0,9,0,0,6,Winter,1,18,22,Evening,1,0.3389,0
T00075,2023-01-01,23,Train,Route_7,Station_41,Station_11,10,-2,Storm,16.5,11.6,None,0,1,0,0,6,Winter,0,8,-12,Evening,1,0.7048,0
T00076,2023-01-02,0,Metro,Route_20,Station_35,Station_11,19,26,Snow,31.3,13.5,None,0,59,0,0,0,Summer,1,45,7,Night,1,0.6512,0
T00077,2023-01-02,0,Metro,Route_5,Station_47,Station_21,8,13,Rain,-2.7,12.5,Concert,5000,44,0,0,0,Winter,1,21,5,Night,1,0.2906,220
T00078,2023-01-02,0,Tram,Route_1,Station_48,Station_21,18,18,Rain,18.5,13.3,None,0,7,0,1,0,Autumn,1,36,0,Night,1,0.4438,0
T00079,2023-01-02,0,Metro,Route_17,Station_18,Station_22,5,1,Rain,17.5,5.3,None,5000,57,0,0,0,Summer,0,6,-4,Night,1,0.2127,285
T00080,2023-01-02,1,Tram,Route_3,Station_14,Station_45,5,12,Clear,21.4,8.2,None,0,6,0,1,0,Autumn,1,17,7,Night,1,0.3165,0
T00081,2023-01-02,1,Metro,Route_13,Station_35,Station_7,11,9,Storm,28.3,11.9,None,0,98,0,0,0,Autumn,1,20,-2,Night,1,0.8125,0
T00082,2023-01-02,1,Bus,Route_14,Station_44,Station_17,10,22,Rain,24,0.7,Sports,5000,86,0,0,0,Summer,1,32,12,Night,1,0.1818,430
T00083,2023-01-02,1,Metro,Route_18,Station_41,Station_2,0,27,Cloudy,26.6,9.7,Sports,5000,71,0,1,0,Winter,1,27,27,Night,1,0.3109,355
T00084,2023-01-02,2,Tram,Route_4,Station_7,Station_12,1,19,Cloudy,6.6,17.2,None,0,20,1,1,0,Winter,1,20,18,Night,1,0.6438,0
T00085,2023-01-02,2,Tram,Route_18,Station_41,Station_42,17,8,Cloudy,10.5,9.8,Concert,5000,96,0,0,0,Summer,1,25,-9,Night,1,0.2366,480
T00086,2023-01-02,2,Train,Route_5,Station_13,Station_18,12,10,Fog,20.1,11,None,0,46,0,0,0,Autumn,1,22,-2,Night,1,0.4487,0
T00087,2023-01-02,2,Bus,Route_16,Station_18,Station_11,12,14,Storm,17.1,4,None,0,0,0,1,0,Summer,1,26,2,Night,1,0.6698,0
T00088,2023-01-02,3,Metro,Route_1,Station_37,Station_16,18,23,Clear,33.4,15.9,None,0,11,0,0,0,Summer,1,41,5,Night,1,0.5314,0
T00089,2023-01-02,3,Train,Route_14,Station_13,Station_49,10,24,Clear,2.5,7.2,Parade,5000,74,0,0,0,Spring,1,34,14,Night,1,0.149,370
T00090,2023-01-02,3,Metro,Route_15,Station_36,Station_18,6,14,Storm,9.1,19.1,None,5000,47,1,1,0,Spring,1,20,8,Night,1,0.7835,235
T00091,2023-01-02,3,Metro,Route_9,Station_31,Station_35,7,12,Snow,17.9,19.9,None,0,93,0,0,0,Autumn,1,19,5,Night,1,0.8656,0
T00092,2023-01-02,4,Train,Route_15,Station_2,Station_26,9,12,Snow,29.7,18.3,Protest,2000,3,0,0,0,Winter,1,21,3,Night,1,0.798,6
T00093,2023-01-02,4,Train,Route_17,Station_16,Station_16,11,9,Fog,32.2,1.7,None,5000,33,0,0,0,Spring,1,20,-2,Night,1,0.217,165
T00094,2023-01-02,4,Train,Route_4,Station_9,Station_6,-2,25,Storm,8.4,6.7,None,0,86,0,1,0,Spring,1,23,27,Night,1,0.4644,0
T00095,2023-01-02,4,Train,Route_12,Station_9,Station_44,11,5,Snow,-2.3,18.9,Festival,500,31,0,0,0,Autumn,0,16,-6,Night,1,0.7846,15.5
T00096,2023-01-02,5,Train,Route_5,Station_38,Station_43,11,22,Fog,11.9,16.1,None,0,2,0,1,0,Summer,1,33,11,Night,1,0.3371,0
T00097,2023-01-02,5,Metro,Route_5,Station_11,Station_47,5,24,Rain,10.8,18.2,Concert,0,91,0,0,0,Spring,1,29,19,Night,1,0.4299,0
T00098,2023-01-02,5,Train,Route_11,Station_22,Station_47,13,9,Rain,34.5,11.5,Sports,2000,67,0,0,0,Winter,1,22,-4,Night,1,0.3977,134
T00099,2023-01-02,5,Bus,Route_6,Station_33,Station_48,11,5,Fog,12.2,9.6,Sports,0,56,0,0,0,Autumn,0,16,-6,Night,1,0.3038,0
T00100,2023-01-02,6,Tram,Route_7,Station_36,Station_42,-2,10,Storm,7.2,2.1,Parade,0,75,0,0,0,Spring,1,8,12,Morning,1,0.5606,0
T00101,2023-01-02,6,Train,Route_14,Station_45,Station_12,13,8,Rain,9.6,16.8,Protest,0,23,0,0,0,Autumn,1,21,-5,Morning,1,0.5443,0
T00102,2023-01-02,6,Train,Route_11,Station_23,Station_13,15,28,Storm,10.9,14.9,Concert,2000,32,0,0,0,Spring,1,43,13,Morning,1,0.7199,64
T00103,2023-01-02,6,Metro,Route_13,Station_45,Station_4,4,-1,Snow,27.9,1.2,Festival,0,2,0,1,0,Spring,0,3,-5,Morning,1,0.324,0
T00104,2023-01-02,7,Train,Route_2,Station_45,Station_39,12,12,Rain,-1.8,4.2,Festival,0,3,0,1,0,Autumn,1,24,0,Morning,1,0.3382,0
T00105,2023-01-02,7,Train,Route_7,Station_34,Station_2,14,16,Snow,7.7,11.1,Parade,500,29,0,0,0,Winter,1,30,2,Morning,1,0.7965,14.5
T00106,2023-01-02,7,Train,Route_20,Station_9,Station_26,16,28,Storm,33.7,13.7,Sports,0,69,0,1,0,Winter,1,44,12,Morning,1,0.8128,0
T00107,2023-01-02,7,Metro,Route_4,Station_24,Station_27,10,19,Storm,1.1,2.8,None,5000,48,0,0,0,Summer,1,29,9,Morning,1,0.4272,240
T00108,2023-01-02,8,Train,Route_8,Station_8,Station_27,6,13,Cloudy,24.7,4.9,Sports,0,29,0,0,0,Spring,1,19,7,Morning,1,0.2556,0
T00109,2023-01-02,8,Tram,Route_20,Station_7,Station_15,12,12,Fog,9.3,3.9,None,0,71,0,0,0,Summer,1,24,0,Morning,1,0.1441,0
T00110,2023-01-02,8,Metro,Route_19,Station_36,Station_8,0,4,Clear,18.3,4.4,None,0,81,0,0,0,Autumn,0,4,4,Morning,1,0.2913,0
T00111,2023-01-02,8,Tram,Route_13,Station_18,Station_7,-2,15,Fog,-1,18.4,None,0,15,0,0,0,Summer,1,13,17,Morning,1,0.4695,0
T00112,2023-01-02,9,Metro,Route_14,Station_3,Station_47,13,26,Storm,7.3,14.3,Festival,5000,52,0,0,0,Autumn,1,39,13,Morning,1,0.8604,260
T00113,2023-01-02,9,Train,Route_10,Station_28,Station_46,5,10,Storm,15,14.7,None,0,5,0,0,0,Winter,1,15,5,Morning,1,0.8278,0
T00114,2023-01-02,9,Tram,Route_11,Station_6,Station_40,10,18,Fog,4.3,15.9,Sports,2000,23,0,0,0,Autumn,1,28,8,Morning,1,0.6077,46
T00115,2023-01-02,9,Metro,Route_2,Station_44,Station_12,5,13,Storm,16.7,7.1,None,0,91,0,1,0,Autumn,1,18,8,Morning,1,0.4724,0
T00116,2023-01-02,10,Bus,Route_9,Station_44,Station_13,14,11,Snow,3.8,15.3,None,500,95,0,1,0,Summer,1,25,-3,Morning,1,0.7838,47.5
T00117,2023-01-02,10,Train,Route_17,Station_21,Station_43,19,28,Rain,21,19.6,None,5000,88,1,0,0,Spring,1,47,9,Morning,1,0.4935,440
T00118,2023-01-02,10,Metro,Route_3,Station_28,Station_17,11,9,Storm,31.2,14,Concert,0,27,0,1,0,Summer,1,20,-2,Morning,1,0.829,0
T00119,2023-01-02,10,Bus,Route_6,Station_40,Station_17,18,17,Fog,-1.6,8.3,Festival,0,20,0,0,0,Winter,1,35,-1,Morning,1,0.3642,0
T00120,2023-01-02,11,Metro,Route_5,Station_1,Station_36,18,29,Fog,3.7,14.3,None,5000,7,0,1,0,Winter,1,47,11,Morning,1,0.3418,35
T00121,2023-01-02,11,Bus,Route_5,Station_36,Station_21,4,23,Fog,28.8,18,None,2000,35,0,0,0,Winter,1,27,19,Morning,1,0.431,70
T00122,2023-01-02,11,Train,Route_15,Station_21,Station_8,12,12,Cloudy,20.3,2.6,Concert,0,8,0,0,0,Spring,1,24,0,Morning,1,0.1232,0
T00123,2023-01-02,11,Tram,Route_17,Station_43,Station_5,13,24,Snow,-1.9,5.3,None,0,39,0,0,0,Summer,1,37,11,Morning,1,0.4873,0
T00124,2023-01-02,12,Bus,Route_9,Station_35,Station_26,16,-3,Snow,14.5,18.4,None,0,84,0,0,0,Autumn,0,13,-19,Afternoon,1,0.8356,0
T00125,2023-01-02,12,Metro,Route_3,Station_13,Station_16,3,27,Cloudy,3.4,18.9,None,5000,50,0,0,0,Autumn,1,30,24,Afternoon,1,0.5965,250
T00126,2023-01-02,12,Train,Route_20,Station_49,Station_36,-2,29,Snow,3,9.7,Concert,500,0,1,0,0,Spring,1,27,31,Afternoon,1,0.6668,0
T00127,2023-01-02,12,Bus,Route_17,Station_10,Station_28,9,29,Cloudy,32.6,7.5,None,5000,62,0,0,0,Winter,1,38,20,Afternoon,1,0.3431,310
T00128,2023-01-02,13,Metro,Route_10,Station_44,Station_29,15,14,Snow,25.5,5.7,None,0,67,0,0,0,Spring,1,29,-1,Afternoon,1,0.6021,0
T00129,2023-01-02,13,Metro,Route_3,Station_47,Station_47,13,19,Cloudy,22.8,10,Parade,0,73,0,1,0,Autumn,1,32,6,Afternoon,1,0.266,0
T00130,2023-01-02,13,Metro,Route_18,Station_10,Station_12,9,19,Cloudy,4.6,18.7,Sports,0,25,0,0,0,Winter,1,28,10,Afternoon,1,0.6484,0
T00131,2023-01-02,13,Bus,Route_18,Station_46,Station_37,17,11,Snow,-0.3,3,None,0,39,0,1,0,Spring,1,28,-6,Afternoon,1,0.6549,0
T00132,2023-01-02,14,Bus,Route_17,Station_13,Station_30,10,22,Cloudy,29.8,8.4,None,0,2,0,0,0,Autumn,1,32,12,Afternoon,1,0.1883,0
T00133,2023-01-02,14,Bus,Route_3,Station_37,Station_23,5,26,Snow,-4.8,18.2,None,0,8,0,0,0,Autumn,1,31,21,Afternoon,1,0.8113,0
T00134,2023-01-02,14,Tram,Route_3,Station_38,Station_16,19,21,Cloudy,10.5,7,None,5000,31,0,0,0,Spring,1,40,2,Afternoon,1,0.1552,155
T00135,2023-01-02,14,Bus,Route_6,Station_24,Station_14,-2,12,Fog,6.1,15.4,None,0,66,0,1,0,Autumn,1,10,14,Afternoon,1,0.379,0
T00136,2023-01-02,15,Bus,Route_13,Station_2,Station_10,18,10,Clear,17.8,7.8,None,0,3,0,0,0,Summer,1,28,-8,Afternoon,1,0.3491,0
T00137,2023-01-02,15,Bus,Route_15,Station_22,Station_7,4,13,Snow,5,16.1,None,5000,5,0,0,0,Summer,1,17,9,Afternoon,1,0.7947,25
T00138,2023-01-02,15,Tram,Route_9,Station_17,Station_45,12,8,Cloudy,7.4,19.6,Festival,5000,72,0,0,0,Winter,1,20,-4,Afternoon,1,0.6155,360
T00139,2023-01-02,15,Bus,Route_4,Station_36,Station_37,19,25,Fog,29,7.8,Festival,0,25,0,0,0,Summer,1,44,6,Afternoon,1,0.2017,0
T00140,2023-01-02,16,Metro,Route_14,Station_14,Station_29,10,28,Clear,19.1,16.9,None,5000,1,0,0,0,Summer,1,38,18,Afternoon,1,0.61240000000000006,5
T00141,2023-01-02,16,Bus,Route_5,Station_10,Station_3,10,20,Cloudy,0.8,19.8,Concert,0,65,0,0,0,Spring,1,30,10,Afternoon,1,0.4009,0
T00142,2023-01-02,16,Metro,Route_2,Station_35,Station_15,6,9,Clear,24.1,19.7,None,0,84,0,1,0,Winter,1,15,3,Afternoon,1,0.61240000000000006,0
T00143,2023-01-02,16,Metro,Route_11,Station_25,Station_36,12,16,Snow,3.3,8.7,Concert,5000,85,0,1,0,Spring,1,28,4,Afternoon,1,0.7739,425
T00144,2023-01-02,17,Metro,Route_9,Station_3,Station_47,1,11,Clear,12.3,9.7,None,2000,2,1,1,0,Spring,1,12,10,Afternoon,1,0.3109,4
T00145,2023-01-02,17,Tram,Route_3,Station_47,Station_46,10,0,Rain,20.9,6.1,Festival,5000,34,0,0,0,Summer,0,10,-10,Afternoon,1,0.2592,170
T00146,2023-01-02,17,Tram,Route_9,Station_38,Station_19,9,24,Storm,5.9,6.3,Festival,5000,58,0,0,0,Summer,1,33,15,Afternoon,1,0.5327,290
T00147,2023-01-02,17,Tram,Route_3,Station_17,Station_13,2,-2,Rain,10.4,9.8,None,0,37,0,0,0,Autumn,0,0,-4,Afternoon,1,0.4145,0
T00148,2023-01-02,18,Bus,Route_2,Station_12,Station_42,4,26,Snow,24.4,4,Sports,0,32,0,1,0,Autumn,1,30,22,Evening,1,0.5376,0
T00149,2023-01-02,18,Metro,Route_12,Station_24,Station_21,5,22,Snow,32.5,14.2,Concert,0,14,1,0,0,Winter,1,27,17,Evening,1,0.7364,0
T00150,2023-01-02,18,Tram,Route_10,Station_29,Station_37,2,22,Clear,16.2,10.7,None,0,74,0,0,0,Summer,1,24,20,Evening,1,0.3054,0
T00151,2023-01-02,18,Tram,Route_9,Station_43,Station_27,6,16,Fog,-4.6,18,Concert,0,73,0,1,0,Autumn,1,22,10,Evening,1,0.6141,0
T00152,2023-01-02,19,Bus,Route_15,Station_25,Station_29,11,24,Cloudy,8.5,16.2,Concert,0,99,0,0,0,Spring,1,35,13,Evening,1,0.4255,0
T00153,2023-01-02,19,Tram,Route_8,Station_36,Station_20,9,16,Storm,10.9,6.4,Festival,5000,13,0,0,0,Summer,1,25,7,Evening,1,0.4381,65
T00154,2023-01-02,19,Bus,Route_5,Station_26,Station_25,1,7,Cloudy,8.6,10.1,Sports,5000,65,0,0,0,Winter,1,8,6,Evening,1,0.2273,325
T00155,2023-01-02,19,Train,Route_11,Station_38,Station_6,17,6,Fog,12.5,15,None,500,44,0,0,0,Winter,1,23,-11,Evening,1,0.4575,22
T00156,2023-01-02,20,Tram,Route_2,Station_1,Station_36,5,19,Snow,20.3,3.9,Protest,0,47,0,1,0,Spring,1,24,14,Evening,1,0.383,0
T00157,2023-01-02,20,Train,Route_15,Station_20,Station_2,14,15,Storm,-0.2,0.6,Parade,2000,43,0,0,0,Autumn,1,29,1,Evening,1,0.4289,86
T00158,2023-01-02,20,Bus,Route_6,Station_28,Station_22,5,14,Rain,5.9,17,None,500,36,1,0,0,Spring,1,19,9,Evening,1,0.5636,18
T00159,2023-01-02,20,Metro,Route_8,Station_16,Station_32,18,23,Snow,15.3,2.8,None,5000,28,0,0,0,Autumn,1,41,5,Evening,1,0.6509,140
